movieId,title,genres,title_lower,combined_text
142,Shadows (Cienie) (1988),Drama,shadows (cienie) (1988),Shadows (Cienie) (1988) Drama
143,Gospa (1995),Drama,gospa (1995),Gospa (1995) Drama
144,"Brothers McMullen, The (1995)",Comedy,"brothers mcmullen, the (1995)","Brothers McMullen, The (1995) Comedy"
145,Bad Boys (1995),Action Comedy Crime Drama Thriller,bad boys (1995),Bad Boys (1995) Action Comedy Crime Drama Thriller
146,"Amazing Panda Adventure, The (1995)",Adventure Children,"amazing panda adventure, the (1995)","Amazing Panda Adventure, The (1995) Adventure Children"
147,"Basketball Diaries, The (1995)",Drama,"basketball diaries, the (1995)","Basketball Diaries, The (1995) Drama"
148,"Awfully Big Adventure, An (1995)",Drama,"awfully big adventure, an (1995)","Awfully Big Adventure, An (1995) Drama"
149,Amateur (1994),Crime Drama Thriller,amateur (1994),Amateur (1994) Crime Drama Thriller
150,Apollo 13 (1995),Adventure Drama IMAX,apollo 13 (1995),Apollo 13 (1995) Adventure Drama IMAX
151,Rob Roy (1995),Action Drama Romance War,rob roy (1995),Rob Roy (1995) Action Drama Romance War
152,"Addiction, The (1995)",Drama Horror,"addiction, the (1995)","Addiction, The (1995) Drama Horror"
153,Batman Forever (1995),Action Adventure Comedy Crime,batman forever (1995),Batman Forever (1995) Action Adventure Comedy Crime
154,Beauty of the Day (Belle de jour) (1967),Drama,beauty of the day (belle de jour) (1967),Beauty of the Day (Belle de jour) (1967) Drama
155,Beyond Rangoon (1995),Adventure Drama War,beyond rangoon (1995),Beyond Rangoon (1995) Adventure Drama War
156,Blue in the Face (1995),Comedy Drama,blue in the face (1995),Blue in the Face (1995) Comedy Drama
157,Canadian Bacon (1995),Comedy War,canadian bacon (1995),Canadian Bacon (1995) Comedy War
158,Casper (1995),Adventure Children,casper (1995),Casper (1995) Adventure Children
159,Clockers (1995),Crime Drama Mystery,clockers (1995),Clockers (1995) Crime Drama Mystery
160,Congo (1995),Action Adventure Mystery Sci-Fi,congo (1995),Congo (1995) Action Adventure Mystery Sci-Fi
161,Crimson Tide (1995),Drama Thriller War,crimson tide (1995),Crimson Tide (1995) Drama Thriller War
162,Crumb (1994),Documentary,crumb (1994),Crumb (1994) Documentary
163,Desperado (1995),Action Romance Western,desperado (1995),Desperado (1995) Action Romance Western
164,Devil in a Blue Dress (1995),Crime Film-Noir Mystery Thriller,devil in a blue dress (1995),Devil in a Blue Dress (1995) Crime Film-Noir Mystery Thriller
165,Die Hard: With a Vengeance (1995),Action Crime Thriller,die hard: with a vengeance (1995),Die Hard: With a Vengeance (1995) Action Crime Thriller
166,"Doom Generation, The (1995)",Comedy Crime Drama,"doom generation, the (1995)","Doom Generation, The (1995) Comedy Crime Drama"
167,Feast of July (1995),Drama,feast of july (1995),Feast of July (1995) Drama
168,First Knight (1995),Action Drama Romance,first knight (1995),First Knight (1995) Action Drama Romance
169,Free Willy 2: The Adventure Home (1995),Adventure Children Drama,free willy 2: the adventure home (1995),Free Willy 2: The Adventure Home (1995) Adventure Children Drama
170,Hackers (1995),Action Adventure Crime Thriller,hackers (1995),Hackers (1995) Action Adventure Crime Thriller
171,Jeffrey (1995),Comedy Drama,jeffrey (1995),Jeffrey (1995) Comedy Drama
172,Johnny Mnemonic (1995),Action Sci-Fi Thriller,johnny mnemonic (1995),Johnny Mnemonic (1995) Action Sci-Fi Thriller
173,Judge Dredd (1995),Action Crime Sci-Fi,judge dredd (1995),Judge Dredd (1995) Action Crime Sci-Fi
174,Jury Duty (1995),Comedy,jury duty (1995),Jury Duty (1995) Comedy
175,Kids (1995),Drama,kids (1995),Kids (1995) Drama
176,Living in Oblivion (1995),Comedy,living in oblivion (1995),Living in Oblivion (1995) Comedy
177,Lord of Illusions (1995),Horror,lord of illusions (1995),Lord of Illusions (1995) Horror
178,Love & Human Remains (1993),Comedy Drama,love & human remains (1993),Love & Human Remains (1993) Comedy Drama
179,Mad Love (1995),Drama Romance,mad love (1995),Mad Love (1995) Drama Romance
180,Mallrats (1995),Comedy Romance,mallrats (1995),Mallrats (1995) Comedy Romance
181,Mighty Morphin Power Rangers: The Movie (1995),Action Children,mighty morphin power rangers: the movie (1995),Mighty Morphin Power Rangers: The Movie (1995) Action Children
182,Moonlight and Valentino (1995),Drama Romance,moonlight and valentino (1995),Moonlight and Valentino (1995) Drama Romance
183,Mute Witness (1994),Comedy Horror Thriller,mute witness (1994),Mute Witness (1994) Comedy Horror Thriller
184,Nadja (1994),Drama,nadja (1994),Nadja (1994) Drama
185,"Net, The (1995)",Action Crime Thriller,"net, the (1995)","Net, The (1995) Action Crime Thriller"
186,Nine Months (1995),Comedy Romance,nine months (1995),Nine Months (1995) Comedy Romance
187,Party Girl (1995),Comedy,party girl (1995),Party Girl (1995) Comedy
188,"Prophecy, The (1995)",Fantasy Horror Mystery,"prophecy, the (1995)","Prophecy, The (1995) Fantasy Horror Mystery"
189,Reckless (1995),Comedy Fantasy,reckless (1995),Reckless (1995) Comedy Fantasy
190,Safe (1995),Thriller,safe (1995),Safe (1995) Thriller
191,"Scarlet Letter, The (1995)",Drama Romance,"scarlet letter, the (1995)","Scarlet Letter, The (1995) Drama Romance"
192,"Show, The (1995)",Documentary,"show, the (1995)","Show, The (1995) Documentary"
193,Showgirls (1995),Drama,showgirls (1995),Showgirls (1995) Drama
194,Smoke (1995),Comedy Drama,smoke (1995),Smoke (1995) Comedy Drama
195,Something to Talk About (1995),Comedy Drama Romance,something to talk about (1995),Something to Talk About (1995) Comedy Drama Romance
196,Species (1995),Horror Sci-Fi,species (1995),Species (1995) Horror Sci-Fi
197,"Stars Fell on Henrietta, The (1995)",Drama,"stars fell on henrietta, the (1995)","Stars Fell on Henrietta, The (1995) Drama"
198,Strange Days (1995),Action Crime Drama Mystery Sci-Fi Thriller,strange days (1995),Strange Days (1995) Action Crime Drama Mystery Sci-Fi Thriller
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama Musical Romance,"umbrellas of cherbourg, the (parapluies de cherbourg, les) (1964)","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964) Drama Musical Romance"
200,"Tie That Binds, The (1995)",Thriller,"tie that binds, the (1995)","Tie That Binds, The (1995) Thriller"
201,Three Wishes (1995),Drama Fantasy,three wishes (1995),Three Wishes (1995) Drama Fantasy
202,Total Eclipse (1995),Drama Romance,total eclipse (1995),Total Eclipse (1995) Drama Romance
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,"to wong foo, thanks for everything! julie newmar (1995)","To Wong Foo, Thanks for Everything! Julie Newmar (1995) Comedy"
204,Under Siege 2: Dark Territory (1995),Action,under siege 2: dark territory (1995),Under Siege 2: Dark Territory (1995) Action
205,Unstrung Heroes (1995),Comedy Drama,unstrung heroes (1995),Unstrung Heroes (1995) Comedy Drama
206,Unzipped (1995),Documentary,unzipped (1995),Unzipped (1995) Documentary
207,"Walk in the Clouds, A (1995)",Drama Romance,"walk in the clouds, a (1995)","Walk in the Clouds, A (1995) Drama Romance"
208,Waterworld (1995),Action Adventure Sci-Fi,waterworld (1995),Waterworld (1995) Action Adventure Sci-Fi
209,White Man's Burden (1995),Drama,white man's burden (1995),White Man's Burden (1995) Drama
210,Wild Bill (1995),Western,wild bill (1995),Wild Bill (1995) Western
211,"Browning Version, The (1994)",Drama,"browning version, the (1994)","Browning Version, The (1994) Drama"
212,Bushwhacked (1995),Adventure Comedy Crime Mystery,bushwhacked (1995),Bushwhacked (1995) Adventure Comedy Crime Mystery
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,burnt by the sun (utomlyonnye solntsem) (1994),Burnt by the Sun (Utomlyonnye solntsem) (1994) Drama
214,Before the Rain (Pred dozhdot) (1994),Drama War,before the rain (pred dozhdot) (1994),Before the Rain (Pred dozhdot) (1994) Drama War
215,Before Sunrise (1995),Drama Romance,before sunrise (1995),Before Sunrise (1995) Drama Romance
216,Billy Madison (1995),Comedy,billy madison (1995),Billy Madison (1995) Comedy
217,"Babysitter, The (1995)",Drama Thriller,"babysitter, the (1995)","Babysitter, The (1995) Drama Thriller"
218,Boys on the Side (1995),Comedy Drama,boys on the side (1995),Boys on the Side (1995) Comedy Drama
219,"Cure, The (1995)",Drama,"cure, the (1995)","Cure, The (1995) Drama"
220,Castle Freak (1995),Horror,castle freak (1995),Castle Freak (1995) Horror
222,Circle of Friends (1995),Drama Romance,circle of friends (1995),Circle of Friends (1995) Drama Romance
223,Clerks (1994),Comedy,clerks (1994),Clerks (1994) Comedy
224,Don Juan DeMarco (1995),Comedy Drama Romance,don juan demarco (1995),Don Juan DeMarco (1995) Comedy Drama Romance
225,Disclosure (1994),Drama Thriller,disclosure (1994),Disclosure (1994) Drama Thriller
226,Dream Man (1995),Thriller,dream man (1995),Dream Man (1995) Thriller
227,Drop Zone (1994),Action Thriller,drop zone (1994),Drop Zone (1994) Action Thriller
228,Destiny Turns on the Radio (1995),Comedy,destiny turns on the radio (1995),Destiny Turns on the Radio (1995) Comedy
229,Death and the Maiden (1994),Drama Thriller,death and the maiden (1994),Death and the Maiden (1994) Drama Thriller
230,Dolores Claiborne (1995),Drama Thriller,dolores claiborne (1995),Dolores Claiborne (1995) Drama Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure Comedy,dumb & dumber (dumb and dumber) (1994),Dumb & Dumber (Dumb and Dumber) (1994) Adventure Comedy
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy Drama Romance,eat drink man woman (yin shi nan nu) (1994),Eat Drink Man Woman (Yin shi nan nu) (1994) Comedy Drama Romance
233,Exotica (1994),Drama,exotica (1994),Exotica (1994) Drama
234,Exit to Eden (1994),Comedy,exit to eden (1994),Exit to Eden (1994) Comedy
235,Ed Wood (1994),Comedy Drama,ed wood (1994),Ed Wood (1994) Comedy Drama
236,French Kiss (1995),Action Comedy Romance,french kiss (1995),French Kiss (1995) Action Comedy Romance
237,Forget Paris (1995),Comedy Romance,forget paris (1995),Forget Paris (1995) Comedy Romance
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure Children,far from home: the adventures of yellow dog (1995),Far From Home: The Adventures of Yellow Dog (1995) Adventure Children
239,"Goofy Movie, A (1995)",Animation Children Comedy Romance,"goofy movie, a (1995)","Goofy Movie, A (1995) Animation Children Comedy Romance"
240,Hideaway (1995),Thriller,hideaway (1995),Hideaway (1995) Thriller
241,Fluke (1995),Children Drama,fluke (1995),Fluke (1995) Children Drama
242,Farinelli: il castrato (1994),Drama Musical,farinelli: il castrato (1994),Farinelli: il castrato (1994) Drama Musical
243,Gordy (1995),Children Comedy Fantasy,gordy (1995),Gordy (1995) Children Comedy Fantasy
244,Gumby: The Movie (1995),Animation Children,gumby: the movie (1995),Gumby: The Movie (1995) Animation Children
245,"Glass Shield, The (1994)",Crime Drama,"glass shield, the (1994)","Glass Shield, The (1994) Crime Drama"
246,Hoop Dreams (1994),Documentary,hoop dreams (1994),Hoop Dreams (1994) Documentary
247,Heavenly Creatures (1994),Crime Drama,heavenly creatures (1994),Heavenly Creatures (1994) Crime Drama
248,Houseguest (1994),Comedy,houseguest (1994),Houseguest (1994) Comedy
249,Immortal Beloved (1994),Drama Romance,immortal beloved (1994),Immortal Beloved (1994) Drama Romance
250,Heavyweights (Heavy Weights) (1995),Children Comedy,heavyweights (heavy weights) (1995),Heavyweights (Heavy Weights) (1995) Children Comedy
251,"Hunted, The (1995)",Action,"hunted, the (1995)","Hunted, The (1995) Action"
252,I.Q. (1994),Comedy Romance,i.q. (1994),I.Q. (1994) Comedy Romance
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama Horror,interview with the vampire: the vampire chronicles (1994),Interview with the Vampire: The Vampire Chronicles (1994) Drama Horror
254,Jefferson in Paris (1995),Drama,jefferson in paris (1995),Jefferson in Paris (1995) Drama
255,"Jerky Boys, The (1995)",Comedy,"jerky boys, the (1995)","Jerky Boys, The (1995) Comedy"
256,Junior (1994),Comedy Sci-Fi,junior (1994),Junior (1994) Comedy Sci-Fi
257,Just Cause (1995),Mystery Thriller,just cause (1995),Just Cause (1995) Mystery Thriller
